time,ax,ay,az,gx,gy,gz
213640,0.13,1.51,-4.28,-257.1,-56.68,-72.1
213652,0.29,1.26,-4.68,-192.22,-133.94,-66.91
213664,0.07,1.02,-4.54,-114.66,-143.63,-41.98
213676,-0.21,0.89,-4.22,-27.28,-89.37,4.91
213688,-0.38,0.89,-4.05,55.58,-25.16,37.66
213700,-0.36,0.95,-4.01,142.66,2.89,54.98
213863,1.03,4.34,-1.58,546.8,-127.17,-84.84
213875,0.9,4.77,-1.38,559.3,-64.49,-92.65
213887,0.43,5.04,-1.04,594.61,-20.04,-107.4
213899,-0.34,5.31,-0.9,624.91,-10.59,-125.09
213923,-0.98,6.2,-1.11,638.82,-23.94,-118.8
213935,-0.87,6.76,-0.88,612.96,-34.06,-116.61
213947,-1.13,6.98,-0.41,587.41,-97.29,-152.71
213959,-1.55,7.01,0.2,583.82,-183.39,-201.06
213971,-1.52,7.19,0.72,597.66,-240.34,-244.41
213983,-1.02,7.57,1.4,586.13,-196.07,-280.15
213995,-0.99,7.72,2.19,559.18,-81.01,-319.35
214007,-1.71,7.4,3.27,541.01,50.21,-337.1
214019,-2.58,7.34,4.48,524.49,153.62,-331.55
214031,-2.79,7.47,4.8,478.63,176.61,-343.74
214043,-3.88,7.09,5.45,434.49,43.56,-421.73
214055,-3.6,7.78,6.17,361.86,-187.05,-548.38
214067,-2.61,8.29,5.66,224.18,-375.4,-685.27
214079,-1.35,8.72,5.77,115.95,-559.98,-811.0
214091,0.48,9.59,6.5,-2.28,-649.92,-892.22
214103,2.68,10.82,6.66,-122.53,-581.2,-927.16
214115,3.62,10.93,6.83,-235.7,-484.61,-911.12
214127,4.26,11.19,6.44,-378.32,-477.96,-815.15
214139,5.12,11.24,5.2,-553.68,-547.42,-648.62
214305,-6.19,16.0,-11.4,1231.68,1062.77,774.24
214317,-12.33,16.0,-12.04,1268.88,688.74,230.16
214329,-15.16,16.0,-8.69,826.99,81.61,584.43
214341,-7.35,16.0,-8.27,901.74,-135.83,547.05
214365,-5.29,16.0,-9.36,1189.91,-176.56,352.41
214377,-3.16,16.0,-8.13,1253.33,105.33,229.85
214389,-1.21,16.0,-7.1,1059.79,506.85,194.79
214401,-0.62,16.0,-5.43,889.12,801.67,299.61
214413,-1.71,16.0,-5.06,859.36,956.37,366.87
214425,-3.38,16.0,-3.16,799.85,789.72,547.41
214437,-2.97,16.0,-1.01,737.96,503.07,685.65
214449,-2.78,16.0,-0.22,656.32,251.43,708.33
214461,-2.81,16.0,0.5,588.63,117.1,714.18
214473,-2.8,14.03,0.58,562.72,28.07,647.48
214485,-2.08,11.82,0.53,533.33,38.44,566.26
214497,-1.46,10.08,0.93,484.97,156.61,478.45
214509,-1.71,8.49,1.55,411.25,306.49,422.96
214521,-2.66,7.51,2.09,329.06,428.5,405.1
214533,-4.47,6.9,2.82,256.01,481.3,500.04
